Marca;Dimensiones;Nombre;Fecha revisión;Recomendado;Puntuación;Texto
Pinnacle;1.0 in x 1.0 in x 1.0 in;Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle;2017-10-10T07:00:00.000Z;sí;5;Pinnacle has been making our Martini's in my family for many years. My late father discovered it years ago when someone said it's on par with that vodka that flys south for the winter, but at a very reasonable price. Try it, bet you'll love it too. Al
Pinnacle;1.0 in x 1.0 in x 1.0 in;Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle;2017-08-27T07:00:00.000Z;sí;5;The whipped creme flavored vodka is fabulous. I keep it in the freezer and have a snifter of it when I want something smooth after dinner or as a night cap. Love it!
Pinnacle;1.0 in x 1.0 in x 1.0 in;Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle;2017-08-13T00:00:00.000Z;sí;5;Everything is great about this product, cheap price, perfect taste. Mixing this flavor with just a soda makes it delicious.
Pinnacle;1.0 in x 1.0 in x 1.0 in;Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle;2017-07-22T07:00:00.000Z;sí;5;I love this vodka, I have been drinking vodka for many years, and this is by far one of the best, and my favorite vodka. I drink it regularly, usually with grape juice, but also with orange juice. We use it to make daiquiris, and many other frozen concoctions.
Skinnygirl;1.0 in x 1.0 in x 1.0 in;Skinnygirl174 Original Margarita - 750ml Bottle;2014-07-28T17:28:47.000Z;no;2;Just so so. Seems to be missing something. There are much better margarita mixes out there without all the additives this does not have.
Mirassou;1.0 in x 1.0 in x 1.0 in;Mirassou174 Pinot Noir - 750ml Bottle;2016-07-16T02:23:44.000Z;sí;4;Very good summer red. It's become our favorite reasonably priced wine that we enjoy on its own.
Seagram's;1.0 in x 1.0 in x 1.0 in;Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles;2017-08-19T00:00:00.000Z;sí;5;love all of the flavors. will be buying again. great for summer drinks
Seagram's;1.0 in x 1.0 in x 1.0 in;Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles;2017-06-15T00:00:00.000Z;sí;4;I bought this pack on a whim and I'm so glad I did. There is a variety of drinks for a great price, even less than the discount liquor store! I'll definitely get this again!
Seagram's;1.0 in x 1.0 in x 1.0 in;Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles;2017-06-07T00:00:00.000Z;sí;5;Vrty good
Seagram's;1.0 in x 1.0 in x 1.0 in;Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles;2017-04-11T00:00:00.000Z;sí;4;Jamaican me happy
Seagram's;1.0 in x 1.0 in x 1.0 in;Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles;2016-03-07T00:00:00.000Z;sí;5;Really enjoy these but SAMs likes to send you on wild goose chases saying available and none to be found not even the empty pallet
Apothic;3.2 in x 3.2 in x 11.8 in;Apothic174 Dark Red Blend - 750ml Bottle;2017-06-25T00:00:00.000Z;sí;5;We have been buying Apothic Dark for a couple of years now. It is our Red Blend of Choice. Very Smooth and very reasonably priced.
Apothic;3.2 in x 3.2 in x 11.8 in;Apothic174 Dark Red Blend - 750ml Bottle;2016-09-01T00:00:00.000Z;sí;3;Decent table wine for the price. Bend that is on the sweeter side of the spectrum.
RumChata;1.0 in x 1.0 in x 1.0 in;Rumchata174 Caribbean Rum - 750ml Bottle;2017-01-12T00:00:00.000Z;sí;5;Rum Chata is great when mixed with Fireball or Caramel Vodka
Sauza;1.0 in x 1.0 in x 11.0 in;Sauza174 Silver Tequila - 750ml Bottle;2017-09-06T08:00:00.000Z;sí;5;Love this brand of tequila. I'm a Margarita fan and like to make different kinds
Corona Extra;1.0 in x 1.0 in x 1.0 in;Corona Extra174 Beer - 12pk / 12oz Bottles;2016-03-17T04:35:00.000Z;sí;5;love it wouldnt mind drinking more
Bud Light;1.0 in x 1.0 in x 1.0 in;Bud Light174 Lime Beer - 12pk / 12oz Cans;2012-06-20T04:13:00.000Z;sí;4;On a hot day near the water, this is the cheap-ish beer to have. Bud light with a solid splash of lime, makes it a light and refreshing choice. The Target 12-pack is average-priced and will provide a beverage most will enjoy - particularly the ladies.
Absolut;1.0 in x 1.0 in x 1.0 in;Absolut174 Mandarin Vodka - 750ml Bottle;2015-10-30T21:33:19.000Z;sí;5;Love this vodka - it's perfect for screwdrivers! It blends so well with the juice and for an interesting citrus blend, you can use grapefruit juice.
Menage A Trois;1.0 in x 1.0 in x 1.0 in;Menage A Trois174 Red Blend - 750ml Bottle;2017-03-06T00:00:00.000Z;sí;5;We've been drinking this wine for a while. It's one of a group we buy regularly because it's a good wine at an affordable price.
Menage A Trois;1.0 in x 1.0 in x 1.0 in;Menage A Trois174 Red Blend - 750ml Bottle;2017-03-04T00:00:00.000Z;sí;4;Never disappointed, constant taste.
Menage A Trois;1.0 in x 1.0 in x 1.0 in;Menage A Trois174 Red Blend - 750ml Bottle;2017-01-27T00:00:00.000Z;sí;5;A delicious blended wine ... give it a try, you might be surprised
Schmitt Sohne Family Wines;1.0 in x 1.0 in x 1.0 in;Schmitt Sohne174 Relax Riesling - 750ml Bottle;2014-09-19T01:39:22.000Z;sí;5;This is by far the best reisling I've ever had! LOVE it! Always consistent in flavor and my go to!
Blue Moon;10.5 in x 15.75 in x 9.25 in;Blue Moon174 Belgian White Wheat Ale - 12pk / 12oz Bottles;2011-09-26T05:24:04.000Z;sí;5;Great Taste don't forget a slice of orage on the side!
KINKY;1.0 in x 1.0 in x 1.0 in;Kinky174 Fruit Liqueur - 750ml Bottle;2015-03-05T03:05:28.000Z;sí;5;Very fruity. Smooth. I like it straight over ice with a bit of Chambord.
Corona Light;1.0 in x 1.0 in x 1.0 in;Corona Light174 Beer - 6pk / 12oz Bottles;2013-09-19T00:00:00Z;;;Tastes absolutley nothing like Chinese restaurant tea... not even similar. It's absolutley horrible, bitter and acrid. With shipping I paid 50 cents per bag... what an amazing rip off. You can go to a local Oriental store and get this kind of stuff for 2 cents per bag... and it would probably taste better.
Corona Light;1.0 in x 1.0 in x 1.0 in;Corona Light174 Beer - 6pk / 12oz Bottles;;;;I don't know why some people wrote bad reviews about this tea. It is just like the tea I've grown up with that I had in Chinese Restaurants. The only complaint I have is that I found the same tea while visiting an Asian store out of town and it was only 2.00 per box while this one was more than double plus a 2.99 shipping fee. I knocked the rating down one star because of the outrageous price this seller charges.
Corona Light;1.0 in x 1.0 in x 1.0 in;Corona Light174 Beer - 6pk / 12oz Bottles;2012-05-20T00:00:00Z;;;Had a cup of this tea and it was like reliving the past. Always drank this blend at a small Chinese Resturant in Queens, NY. After my first sip I felt like I was back thier enjoying a big pot of tea. Smooth and Relaxing, great blend and will be ordering more soon.
Corona Light;1.0 in x 1.0 in x 1.0 in;Corona Light174 Beer - 6pk / 12oz Bottles;;;;Yes! this IS just like the Chinese restaurant tea. I used to receive a tea bag or two from my favorite Chinese take out, but nobody does that anymore. I'd save my teabag for the next day to drink with the leftovers, to enhance the leftovers. Now, I can enjoy this tea anytime. This is a refreshing tea that does not make one feel as if we should be adding milk and/or eating some cookies or cakes with it. This tea can stand alone and refresh the inner soul. I drink it with just a pinch of sugar.
Corona Light;1.0 in x 1.0 in x 1.0 in;Corona Light174 Beer - 6pk / 12oz Bottles;;;;I gave this to my husband for christmas and he loves it. Says it smells good, it has a nice flavor and a smooth texture, just like the tea you are served in Chinese Restaurants :)
Corona Light;1.0 in x 1.0 in x 1.0 in;Corona Light174 Beer - 6pk / 12oz Bottles;2015-05-31T00:00:00Z;;;I really like this tea and have bought it many times. The blend called Chinese Restaurant Tea is a blend of green, oolong and jasmine. It doesn't contain ginseng or black tea, which might explain why some people don't like it. (Black tea is more common and smoother tasting than green, which can be grassy or sharp tasting.) It does taste like the teas I have had at better Asian restaurants. (Some of the cheapo ones don't even serve tea any more.)I like the packaging and the name. Kind of quirky, stripped down and charming to my mind. It is hard for me to find this tea in stores. I called the company and they said it was only available in certain regions. (My store had carried it but stopped apparently due to this regional issue -- no longer available in our part of PA.) It was much cheaper in the store than it is on-line but I am just glad to have found it! Thanks for carrying it, Amazon and friends!
Corona Light;1.0 in x 1.0 in x 1.0 in;Corona Light174 Beer - 6pk / 12oz Bottles;2013-09-17T00:00:00Z;;;Really, that's all I have to say. I have ordered this tea several times. Tastes EXACTLY like the Chinese tea that you can find in any major Chinese restaurant.
Corona Light;1.0 in x 1.0 in x 1.0 in;Corona Light174 Beer - 6pk / 12oz Bottles;2013-02-13T00:00:00Z;;;I really like the taste of the tea, especially cold. It's a green tea mixed with Ginseng, and they've added licorice root to perhaps sweeten the tea. I don't even add any sugar or honey to it, the taste is that good. My only complaint is that the box claims it is 100 natural, but I wish they would disclose the amount and type of Ginseng. I bought this tea because of the Ginseng, so it would be nice if they disclosed what type of Ginseng and what concentration of it is in the tea itself. Since this is a pretty inexpensive tea, I'm guessing it's a cheap low-quality Ginseng, but like I said, it is tasty. Another nice benefit of this tea is that you can just drop the tea bag into a glass of room temperature water and drink it that way, it's very tasty this way! You don't have to steep or brew it with hot water, so it makes it a nice drinkable tea year round.
Corona Light;1.0 in x 1.0 in x 1.0 in;Corona Light174 Beer - 6pk / 12oz Bottles;2013-11-13T06:00:00Z;;;I like all ingredients in this tea: Green tea, Licorice root and Ginseng. Specially Licorice root can relieve a spasmodic cough and test like Mint
Corona Light;1.0 in x 1.0 in x 1.0 in;Corona Light174 Beer - 6pk / 12oz Bottles;2014-03-27T05:00:00Z;;;We like this brand especially when we make stir fry. Can't find it in the grocery stores any longer and was happy I could find it on line.
Chateau Ste Michelle;1.0 in x 1.0 in x 1.0 in;Chateau Ste Michelle174 Riesling - 750ml Bottle;2012-07-12T03:16:35.000Z;sí;5;This is my favorite Riesling. When I spotted it on sale for 9.99 a bottle I was delighted. I usually pay around 12.99 at other locations. Buying two bottles saved me six dollars, Thanks Target.
Leinenkugel's;1.0 in x 1.0 in x 1.0 in;Leinenkugel's174 Sunset Wheat Beer - 6pk / 12oz Bottles;2016-06-08T01:24:47.000Z;sí;5;Refreshing taste of beer especially for summer, citrus combined w/ blueberry.
Sierra Nevada;1.0 in x 1.0 in x 1.0 in;Sierra Nevada174 Torpedo Extra Ipa Beer - 6pk / 12oz Bottles;2012-07-11T23:39:13.000Z;sí;5;Right on Target - Sierra Nevada Torpedo Ale has outstanding character, warm, subtle hints of fruit and a strong but not overly bitter hop aftertaste. It is excellent after a hard day's work to kick back and relax. Target recently began carrying beer and I could not be more enthused! ...
Sierra Nevada;1.0 in x 1.0 in x 1.0 in;Sierra Nevada174 Torpedo Extra Ipa Beer - 6pk / 12oz Bottles;2013-11-20T00:00:00.000Z;sí;5;Best beer for the money. Wish the club in Omaha would carry it again. Any idea if any club carries it
New Belgium;1.0 in x 1.0 in x 1.0 in;New Belgium174 Fat Tire Amber Ale - 12pk / 12oz Bottles;2016-12-22T00:00:00.000Z;sí;5;Battle ground walmart is to high priced to surrounding stores
Smirnoff;1.0 in x 1.0 in x 1.0 in;Smirnoff174 Ice Party Pack - 12pk / 11.2oz Bottles;2015-11-30T14:32:11.000Z;sí;5;Any alcohol beverage
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-12-09T08:00:00.000Z;sí;5;I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-12-06T08:00:00.000Z;sí;5;My momma LOVES this stuff....!! Its the taste that will rockur socks off!!
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-11-26T08:00:00.000Z;sí;5;It goes great in apple cider
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-10-16T07:00:00.000Z;sí;5;A true classic of spirits...
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-08-24T00:00:00.000Z;sí;5;The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-08-06T00:00:00.000Z;sí;5;Best Drink you can get
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-08-05T00:00:00.000Z;sí;4;to make manhattens
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-06-13T00:00:00.000Z;sí;5;Best bourbon I have found...have toured distillery and love the brand..
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-06-10T00:00:00.000Z;sí;5;Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-06-03T00:00:00.000Z;sí;5;I like it with dr.peper to sip and relax
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-06-03T00:00:00.000Z;sí;5;Better than the other's
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-05-28T00:00:00.000Z;sí;5;Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-05-21T00:00:00.000Z;sí;5;I keep Jim Beam on hand every day of the week.
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-05-04T00:00:00.000Z;sí;5;I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-05-17T00:00:00.000Z;sí;5;It's does have a great toaste to it the only drink I'll drink.
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-05-07T00:00:00.000Z;sí;5;I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-05-05T00:00:00.000Z;sí;5;Best tasteing and defenetly the smoothest around I love it!
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-05-02T00:00:00.000Z;sí;5;I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-08-05T07:00:00.000Z;sí;4;to make manhattens
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam Bourbon Whiskey Pet-750ml Bottle;2017-06-13T07:00:00.000Z;sí;5;Best bourbon I have found...have toured distillery and love the brand..
Josh Cellars;1.0 in x 1.0 in x 1.0 in;Josh Cellars174 Cabernet Sauvignon - 750ml Bottle;2017-02-23T00:00:00.000Z;sí;4;Very good Cabernet Sauvignon for the money. More in line with wines typically in the 20 range.
Josh Cellars;1.0 in x 1.0 in x 1.0 in;Josh Cellars174 Cabernet Sauvignon - 750ml Bottle;2016-09-29T00:00:00.000Z;sí;5;This has become our goto wine!! Not terribly expensive - just terribly GOOD!
Heineken;1.0 in x 1.0 in x 1.0 in;Heineken174 Lager - 12pk / 12oz Bottles;2017-11-11T21:12:56.000Z;sí;5;I like a good price-quality deal for Heineken Lager. My fav easy-going beer. I prefer bottled on and I like to drink it from glasses.
Heineken;1.0 in x 1.0 in x 1.0 in;Heineken174 Lager - 12pk / 12oz Bottles;2017-08-14T00:00:00.000Z;sí;5;It was very fresh and cheaper than anywhere in the area.
Heineken;1.0 in x 1.0 in x 1.0 in;Heineken174 Lager - 12pk / 12oz Bottles;2017-08-03T00:00:00.000Z;sí;5;I bought this, best price and great convenience to order online, pick up in store. Great job! Super easy
Heineken;1.0 in x 1.0 in x 1.0 in;Heineken174 Lager - 12pk / 12oz Bottles;2016-12-19T00:00:00.000Z;sí;5;Made our party special. Everyone was pleased with our choice of drinks.
Effen;1.0 in x 1.0 in x 1.0 in;Effen174 Black Cherry Vodka - 750ml Bottle;2017-11-06T08:00:00.000Z;sí;5;TASTE DRINK
